airport_code,Code,airport_name,city,Country,State,full,co_ordinates,latitude,longitude
12478,12478, John F. Kennedy International,New York,United States,New York," John F. Kennedy International Airport, New York, New York, United States","John F. Kennedy International Airport, Terminal 5 Arrivals, Bayswater, Queens County, NYC, New York, 11430, USA",40.6429479,-73.77937337
13830,13830, Kahului Airport,Kahului,United States,Hawaii," Kahului Airport Airport, Kahului, Hawaii, United States","Kahului Airport, Lanui Circle, Maui County, Hawaii, HI 96732, USA",20.89527825,-156.4328645
12173,12173, Daniel K Inouye International,Honolulu,United States,Hawaii," Daniel K Inouye International Airport, Honolulu, Hawaii, United States","Daniel K. Inouye International Airport, Keehi Place, Mapunapuna, Honolulu, Honolulu County, Hawaii, 96820, USA",21.3217144,-157.9184068
13930,13930, Chicago O'Hare International,Chicago,United States,Illinois," Chicago O'Hare International Airport, Chicago, Illinois, United States","O'Hare International Airport, 10000, O'Hare Commercial Arrivals, O'Hare, Chicago, Cook County, Illinois, 60666, USA",41.9779849,-87.90932141
13303,13303, Miami International,Miami,United States,Florida," Miami International Airport, Miami, Florida, United States","Miami International Airport, 2100, Northwest 18th Street, Miami Springs, Alameda, Miami-Dade County, Florida, 33142, USA",25.7949789,-80.28672341
13204,13204, Orlando International,Orlando,United States,Florida," Orlando International Airport, Orlando, Florida, United States","Orlando International Airport, Station Loop Road, Lake Nona, Orlando, Orange County, Florida, 32827, USA",28.41290355,-81.3094431
14747,14747, Seattle/Tacoma International,Seattle,United States,Washington," Seattle/Tacoma International Airport, Seattle, Washington, United States","Seattle-Tacoma International Airport, Seattle-Tacoma Departures, SeaTac, King County, Washington, 98158, USA",47.4475673,-122.3080159
11057,11057, Charlotte Douglas International,Charlotte,United States,North Carolina," Charlotte Douglas International Airport, Charlotte, North Carolina, United States","Charlotte-Douglas International Airport, Express Drive, Charlotte, Mecklenburg County, North Carolina, 28208, USA",35.21074145,-80.94602113
14107,14107, Phoenix Sky Harbor International,Phoenix,United States,Arizona," Phoenix Sky Harbor International Airport, Phoenix, Arizona, United States","Phoenix Sky Harbor International Airport, Service Road, Central City, Phoenix, Maricopa County, Arizona, 85040, USA",33.43291105,-112.0094218
10423,10423, Austin - Bergstrom International,Austin,United States,Texas," Austin - Bergstrom International Airport, Austin, Texas, United States","ABIA, Bergstrom Drive, Austin, Travis County, Texas, 78742, USA",30.19348925,-97.66500964
14100,14100, Philadelphia International,Philadelphia,United States,Pennsylvania," Philadelphia International Airport, Philadelphia, Pennsylvania, United States","Philadelphia International Airport, Island Avenue, Philadelphia, Philadelphia County, Pennsylvania, PA 19153, USA",39.875018,-75.23521279
12982,12982, Lihue Airport,Lihue,United States,Hawaii," Lihue Airport Airport, Lihue, Hawaii, United States","Lihue Airport, Ninini Point Street, Lihue, Kauai County, Hawaii, 96766, United States of America (Kaua'i, Ni'ihau, Ka'ula)",21.97206585,-159.3367154
11292,11292, Denver International,Denver,United States,Colorado," Denver International Airport, Denver, Colorado, United States","Denver International Airport, 8500, PeÃ±a Boulevard, Denver, Denver County, Colorado, USA",39.8501877,-104.6753277
14893,14893, Sacramento International,Sacramento,United States,California," Sacramento International Airport, Sacramento, California, United States","Sacramento International Airport, Airport Boulevard, Sacramento County, California, 95837, USA",38.68722345,-121.5903703
11503,11503, Eagle County Regional,Eagle,United States,Colorado," Eagle County Regional Airport, Eagle, Colorado, United States","Eagle County Regional Airport, North Airport Road, Gypsum, Eagle County, Colorado, 81637, USA",39.64258335,-106.9179215
10693,10693, Nashville International,Nashville,United States,Tennessee," Nashville International Airport, Nashville, Tennessee, United States","Nashville International Airport, 1, Hangar Lane, Donelson, Nashville-Davidson, Davidson County, Tennessee, 37214, USA",36.11958985,-86.68308703
10529,10529, Bradley International,Hartford,United States,Connecticut," Bradley International Airport, Hartford, Connecticut, United States","Bradley International Airport, Perimeter Road, Green Manor Village, Town of Windsor Locks, Hartford County, Connecticut, 06096, USA",41.9405835,-72.68501994
13871,13871, Eppley Airfield,Omaha,United States,Nebraska," Eppley Airfield Airport, Omaha, Nebraska, United States","Eppley Airfield, Wilbur Plaza, East Omaha, Omaha, Douglas County, Nebraska, 68110, USA",41.3012885,-95.88998049
11066,11066, John Glenn Columbus International,Columbus,United States,Ohio," John Glenn Columbus International Airport, Columbus, Ohio, United States","John Glenn Columbus International Airport, International Gateway, East Columbus, Columbus, Franklin County, Ohio, 43213, USA",39.99705605,-82.89304061
10299,10299, Ted Stevens Anchorage International,Anchorage,United States,Alaska," Ted Stevens Anchorage International Airport, Anchorage, Alaska, United States","Ted Stevens Anchorage International Airport, 5000, West International Airport Road, Anchorage, Alaska, 99502, USA",61.1809641,-149.9853395
12892,12892, Los Angeles International,Los Angeles,United States,California," Los Angeles International Airport, Los Angeles, California, United States","Los Angeles International Airport, Gate 41, Westchester, Playa del Rey, LA, Los Angeles County, California, 90045-5802, USA",33.94211345,-118.4070574
14679,14679, San Diego International,San Diego,United States,California," San Diego International Airport, San Diego, California, United States","San Diego International Airport, Guantanamo Street, Old Town, San Diego, San Diego County, California, 92140, USA",32.73336075,-117.1922464
12953,12953, LaGuardia,New York,United States,New York," LaGuardia Airport, New York, New York, United States","LaGuardia Airport, D4 Jetway, North Beach, Queens County, NYC, New York, 11371, USA",40.77578435,-73.87341428
14843,14843, Luis Munoz Marin International,San Juan,United States,Puerto Rico," Luis Munoz Marin International Airport, San Juan, Puerto Rico, United States","Aeropuerto Internacional Luis MuÃ±oz MarÃ­n, Camino Militar, Biascoechea, Cangrejo Arriba, Carolina, Puerto Rico, 00979, USA",18.44319945,-65.99743037
11618,11618, Newark Liberty International,Newark,United States,New Jersey," Newark Liberty International Airport, Newark, New Jersey, United States","Newark Liberty International Airport, Express Road, Newark, Essex County, New Jersey, 07114, USA",40.68906405,-74.17725485
15024,15024, Cyril E King,Charlotte Amalie,United States,Virgin Islands," Cyril E King Airport, Charlotte Amalie, Virgin Islands, United States","Cyril E King Airport, Airport Road, Charlotte Amalie West, Saint Thomas - Saint John District, United States Virgin Islands, 00803, USA",18.33476905,-64.97245365
14869,14869, Salt Lake City International,Salt Lake City,United States,Utah," Salt Lake City International Airport, Salt Lake City, Utah, United States","Salt Lake City International Airport, Drop Off Zone, Salt Lake City, Salt Lake County, Utah, UT 84116, USA",40.7900661,-111.9798985
15304,15304, Tampa International,Tampa,United States,Florida," Tampa International Airport, Tampa, Florida, United States","Tampa International Airport, George J. Bean Parkway, Tampa, Hillsborough County, Florida, 33607, USA",27.9791649,-82.53492762
14683,14683, San Antonio International,San Antonio,United States,Texas," San Antonio International Airport, San Antonio, Texas, United States","San Antonio International Airport, Perimeter Road, San Antonio, Bexar County, Texas, 78216, USA",29.5334021,-98.46921443
15370,15370, Tulsa International,Tulsa,United States,Oklahoma," Tulsa International Airport, Tulsa, Oklahoma, United States","Tulsa International Airport, North Memorial Drive, Tulsa, Tulsa County, Oklahoma, 74115, USA",36.19700895,-95.88673843
13244,13244, Memphis International,Memphis,United States,Tennessee," Memphis International Airport, Memphis, Tennessee, United States","Memphis International Airport, Jim Mcgehee Parkway, Memphis, Shelby County, Tennessee, 38131, USA",35.04625645,-89.97689467
14057,14057, Portland International,Portland,United States,Oregon," Portland International Airport, Portland, Oregon, United States","Portland International Airport, Portland Airport, Portland, Multnomah County, Oregon, 97218, USA",45.5871326,-122.5927798
14831,14831, Norman Y. Mineta San Jose International,San Jose,United States,California," Norman Y. Mineta San Jose International Airport, San Jose, California, United States","Norman Y. Mineta San JosÃ© International Airport, Airport Boulevard, Newhall, Rose Garden, San JosÃ©, Santa Clara County, California, CA 95110, USA",37.3617701,-121.9273361
13931,13931, Norfolk International,Norfolk,United States,Virginia," Norfolk International Airport, Norfolk, Virginia, United States","Norfolk International Airport, 2200, Norview Avenue, East Beach, Azalea Acres, Norfolk, Virginia, 23518-5807, USA",36.8946697,-76.2022963
14027,14027, Palm Beach International,West Palm Beach/Palm Beach,United States,Florida," Palm Beach International Airport, West Palm Beach/Palm Beach, Florida, United States","Palm Beach International Airport, Arrivals, West Gate, Palm Beach County, Florida, 33406-1507, USA",26.6859478,-80.09248651
